"code_muni2","pop_2012","pop_2008","code_muni","IDHM","UF","log_to_brasilia","log_to_capital","metropolitano"
"1100023",92747,84581,110002,0.702,"RO",7.47439775042381,5.07016127341028,0
"1100031",6132,6777,110003,0.65,"RO",7.23025173635054,6.46298265395335,0
"1100049",79330,78263,110004,0.718,"RO",7.33828366268397,5.99398636465149,0
"1100056",16852,16784,110005,0.692,"RO",7.25571132354464,6.39159880478134,0
"1100064",18093,18216,110006,0.685,"RO",7.23679280364032,6.4094838537875,0
"1100072",8530,9761,110007,0.613,"RO",7.26547867310484,6.348246985269,0
"1100080",14355,13973,110008,0.611,"RO",7.49304438312988,6.01871486159814,0
"1100098",29189,28617,110009,0.672,"RO",7.30667232860577,6.08911290034398,0
"1100106",42202,40541,110010,0.657,"RO",7.58233107395665,5.61411302265862,0
"1100114",51765,53955,110011,0.689,"RO",7.42754857273039,5.49794661079718,0
"1100122",118092,110707,110012,0.714,"RO",7.38426271256654,5.7647834962136,0
"1100130",32403,32214,110013,0.596,"RO",7.42573326352525,5.41316275821708,0
"1100148",19891,17653,110014,0.643,"RO",7.38947747680706,5.91811398035805,0
"1100155",37482,37142,110015,0.682,"RO",7.40737232062874,5.64576486828663,0
"1100189",34135,33803,110018,0.71,"RO",7.31533149047594,6.084613301806,0
"1100205",442701,379186,110020,0.736,"RO",7.55047195074272,0,0
"1100254",21709,22896,110025,0.664,"RO",7.37429039990152,5.8483156253885,0
"1100262",3374,3260,110026,0.643,"RO",7.47164193376821,5.02460394332365,0
"1100288",51142,50249,110028,0.7,"RO",7.35329970589521,6.00148913262995,0
"1100296",8476,9566,110029,0.67,"RO",7.34964231550205,6.03892048826428,0
"1100304",79616,68405,110030,0.731,"RO",7.21439403278341,6.40276261040859,0
"1100320",21927,23283,110032,0.646,"RO",7.41273987712312,5.86067225685796,0
"1100338",23719,21650,110033,0.587,"RO",7.58870841344138,5.48496289482205,0
"1100346",16404,17009,110034,0.643,"RO",7.39997895434847,5.82227636870399,0
"1100379",12833,11962,110037,0.592,"RO",7.34966802806135,6.07862799586745,0
"1100403",17742,17169,110040,0.625,"RO",7.49516965237015,4.81705054502359,0
"1100452",33397,33879,110045,0.616,"RO",7.51178705245089,5.0841335566053,0
"1100502",9933,9966,110050,0.634,"RO",7.36839646703371,5.96203573641717,0
"1100601",5791,5707,110060,0.646,"RO",7.45552402415735,5.33450463730975,0
"1100700",12847,12790,110070,0.593,"RO",7.49251514552606,5.31532196536386,0
"1100809",20787,17147,110080,0.649,"RO",7.53911215858563,3.11529150861163,0
"1100908",3479,3737,110090,0.658,"RO",7.37151445213054,5.90115683407645,0
"1100924",8721,7633,110092,0.652,"RO",7.27468050878304,6.2806766983919,0
"1100940",17262,14122,110094,0.612,"RO",7.4628752616273,5.07210661618436,0
"1101005",10040,11793,110100,0.596,"RO",7.43964156191968,5.4891443163857,0
"1101104",8830,8110,110110,0.614,"RO",7.50033598961705,4.53838915229774,0
"1101203",10203,10653,110120,0.638,"RO",7.34886419792845,5.93028039378298,0
"1101302",11686,12446,110130,0.643,"RO",7.42616209276844,5.65553716202821,0
"1101401",14313,12710,110140,0.607,"RO",7.48058621802734,5.18301874218457,0
"1101435",7382,7978,110143,0.587,"RO",7.42208077105775,5.63464673582134,0
"1101450",4990,4696,110145,0.617,"RO",7.33195054407089,6.12097850564006,0
"1101468",2283,2427,110146,0.665,"RO",7.26812538738378,6.41422915229421,0
"1101476",3406,3819,110147,0.641,"RO",7.3203945908383,6.0930956170203,0
"1101484",5862,6477,110148,0.649,"RO",7.33100136438539,6.08002472408746,0
"1101492",16636,16091,110149,0.611,"RO",7.46000687483721,5.91017314347138,0
"1101500",11619,12088,110150,0.598,"RO",7.43199256301574,5.86033027908318,0
"1101559",4778,5070,110155,0.643,"RO",7.40250639736128,5.70571394150595,0
"1101609",10575,10254,110160,0.589,"RO",7.42584048807739,5.46666676577511,0
"1101708",12687,13785,110170,0.609,"RO",7.4055382154856,5.74146354162389,0
"1101757",9633,8981,110175,0.584,"RO",7.42592983308917,5.41512214609012,0
"1101807",7961,9008,110180,0.627,"RO",7.407129585979,5.59801446857802,0
"1200013",13011,11987,120001,0.604,"AC",7.67672859766008,4.63327161609897,0
"1200054",6308,5559,120005,0.588,"AC",7.78336150688378,5.39412742139401,0
"1200104",22261,19829,120010,0.614,"AC",7.74591580651515,5.03792615433216,0
"1200138",8782,6745,120013,0.589,"AC",7.72661398152059,3.10548313751311,0
"1200179",9368,8897,120017,0.575,"AC",7.7023302521722,4.22083035949488,0
"1200203",79819,76392,120020,0.664,"AC",7.95113670665083,6.38723279223728,0
"1200252",15679,13960,120025,0.653,"AC",7.74534906390711,5.04490788803835,0
"1200302",32560,32210,120030,0.539,"AC",7.85533147689537,5.84165858199071,0
"1200328",6898,6333,120032,0.469,"AC",7.89769044702238,6.11049125352962,0
"1200336",15890,14387,120033,0.625,"AC",7.95953798029345,6.42558189778931,0
"1200344",8224,7405,120034,0.551,"AC",7.79987216368387,5.31379693739642,0
"1200351",15123,13728,120035,0.501,"AC",7.9383563570337,6.32507555144816,0
"1200385",17587,17921,120038,0.622,"AC",7.68263450870519,4.37386844697242,0
"1200393",9711,8562,120039,0.532,"AC",7.94517987067008,6.3525074376634,0
"1200401",348354,301398,120040,0.727,"AC",7.71780065940226,0,0
"1200427",15260,13020,120042,0.567,"AC",7.94875611002499,6.37424086696145,0
"1200435",5061,4165,120043,0.517,"AC",7.84226699585861,5.70438229472817,0
"1200450",20588,19506,120045,0.64,"AC",7.71159374138471,3.05305734017326,0
"1200500",39366,35544,120050,0.603,"AC",7.77039625798951,4.92194978926357,0
"1200609",36763,33368,120060,0.539,"AC",7.87164308262157,5.94578703361133,0
"1200708",16639,14848,120070,0.599,"AC",7.7395812067775,4.67208089127072,0
"1200807",15534,14309,120080,0.576,"AC",7.71137886668269,3.96385615406816,0
"1300029",14381,13445,130002,0.527,"AM",7.74716496652033,6.27430994166824,0
"1300060",9794,8694,130006,0.56,"AM",7.8678523477935,6.81103510560391,0
"1300086",10766,8483,130008,0.594,"AM",7.6024362826338,5.08784321833449,0
"1300102",17072,14386,130010,0.561,"AM",7.60482973767997,5.27079199548328,0
"1300144",18633,18170,130014,0.637,"AM",7.38661953666007,6.1215713324532,0
"1300201",15924,14292,130020,0.45,"AM",7.91689498255305,7.03605174324802,0
