 Óbitos infantis - Brasil
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"110001 Alta Floresta D'Oeste";3
"110040 Alto Paraíso";7
"110002 Ariquemes";26
"110045 Buritis";8
"110003 Cabixi";1
"110004 Cacoal";19
"110080 Candeias do Jamari";5
"110005 Cerejeiras";4
"110092 Chupinguaia";1
"110006 Colorado do Oeste";2
"110007 Corumbiara";1
"110008 Costa Marques";2
"110094 Cujubim";3
"110009 Espigão D'Oeste";6
"110100 Governador Jorge Teixeira";3
"110010 Guajará-Mirim";22
"110011 Jaru";11
"110012 Ji-Paraná";39
"110013 Machadinho D'Oeste";2
"110120 Ministro Andreazza";2
"110130 Mirante da Serra";1
"110140 Monte Negro";2
"110014 Nova Brasilândia D'Oeste";2
"110033 Nova Mamoré";9
"110143 Nova União";1
"110015 Ouro Preto do Oeste";8
"110145 Parecis";2
"110018 Pimenta Bueno";8
"110146 Pimenteiras do Oeste";2
"110020 Porto Velho";107
"110025 Presidente Médici";3
"110147 Primavera de Rondônia";1
"110028 Rolim de Moura";12
"110029 Santa Luzia D'Oeste";1
"110149 São Francisco do Guaporé";7
"110032 São Miguel do Guaporé";4
"110150 Seringueiras";1
"110155 Teixeirópolis";1
"110160 Theobroma";1
"110170 Urupá";1
"110030 Vilhena";16
"120001 Acrelândia";2
"120005 Assis Brasil";4
"120010 Brasiléia";8
"120013 Bujari";1
"120017 Capixaba";4
"120020 Cruzeiro do Sul";28
"120025 Epitaciolândia";7
"120030 Feijó";31
"120032 Jordão";4
"120033 Mâncio Lima";9
"120034 Manoel Urbano";2
"120035 Marechal Thaumaturgo";8
"120038 Plácido de Castro";5
"120080 Porto Acre";7
"120039 Porto Walter";7
"120040 Rio Branco";93
"120042 Rodrigues Alves";5
"120043 Santa Rosa do Purus";9
"120050 Sena Madureira";11
"120045 Senador Guiomard";5
"120060 Tarauacá";18
"120070 Xapuri";4
"120000 Município ignorado - AC";1
"130002 Alvarães";14
"130006 Amaturá";6
"130008 Anamã";3
"130010 Anori";7
"130014 Apuí";2
"130020 Atalaia do Norte";11
"130030 Autazes";10
"130040 Barcelos";24
"130050 Barreirinha";13
"130060 Benjamin Constant";14
"130063 Beruri";4
